Tier,Name,Weight,Region,Description,Unique Description
Common,Quokka,2.5–5 kg,Australia,Small marsupial famous for its happy-looking smile,Often called the world’s happiest animal
Common,Axolotl,60–200 g,Mexico,Aquatic salamander that stays young its whole life,Can regrow limbs and organs
Common,Kakapo,2–4 kg,New Zealand,Heavy flightless parrot active mostly at night,One of the rarest parrots on Earth
Common,Patagonian Mara,8–16 kg,Argentina,Long-legged rodent that looks like a deer-rabbit mix,Forms lifelong pairs
Common,Leafy Sea Dragon,~300 g,Southern Australia,Seahorse relative with leaf-like fins for camouflage,Blends perfectly with seaweed
Common,Okapi,200–350 kg,Congo Rainforest,Forest giraffe with zebra-striped legs,Only giraffe relative living in forests
Common,Sun Bear,25–65 kg,Southeast Asia,Small bear with a golden chest marking,Has the longest tongue of any bear
Common,Saiga Antelope,35–60 kg,Central Asia,Antelope with a big flexible nose,Nose warms cold air before breathing
Common,Maned Wolf Pup,20–25 kg,South America,Tall fox-like animal with long legs,Eats fruit as well as meat
Common,Tree Kangaroo,7–14 kg,Papua New Guinea,Kangaroo that lives and climbs in trees,Uses tail for balance while climbing
Common,Glass Frog,5–15 g,Central America,Tiny green frog with see-through skin,Organs visible through its belly
Common,Numbat,300–700 g,Australia,Striped marsupial that eats termites all day,Can eat thousands of termites daily
Common,Pika,120–180 g,Asia & North America,Small round relative of rabbits,Stores grass for winter food
Common,Coati,3–8 kg,Central & South America,Playful raccoon relative with long tail,Lives in social groups
Common,Tarsier,80–160 g,Southeast Asia,Tiny primate with very large eyes,Can rotate head almost fully around
Common,Markhor,70–110 kg,Central Asia,Mountain goat with giant spiral horns,National animal of Pakistan
Common,Sifaka Lemur,4–7 kg,Madagascar,Lemur that moves by hopping sideways,Looks like it is dancing
Common,Proboscis Monkey Baby,7–10 kg,Borneo,Monkey with a growing funny-shaped nose,Nose helps make loud calls
Common,Fennec Fox,1–1.5 kg,Sahara Desert,Small fox with huge ears,Ears help release body heat
Common,Sea Otter Pup,3–5 kg,Pacific Ocean,Fluffy marine mammal that floats on water,Uses tools to open shells
Rare,Red Panda,3–6 kg,Himalayas,Tree-dwelling mammal with fiery red fur,Has a false thumb
Rare,Narwhal,800–1600 kg,Arctic Ocean,Whale with a long spiral tusk,Tusk is actually a tooth
Rare,Gerenuk,30–50 kg,East Africa,Antelope with long neck and legs,Eats standing upright
Rare,Pangolin,5–30 kg,Africa & Asia,Scaly mammal that curls into a ball,Only mammal with scales
Rare,Blue Dragon Sea Slug,<5 g,Open Oceans,Tiny sea creature with bright blue wings,Floats upside down
Rare,Saola,80–100 kg,Vietnam & Laos,Shy forest animal with long straight horns,Nicknamed the Asian Unicorn
Rare,Irrawaddy Dolphin,90–150 kg,Southeast Asia,Dolphin with round head and short beak,Lives in rivers too
Rare,Gentoo Penguin Chick,1–3 kg,Antarctica,Fluffy penguin chick learning to swim,Fastest swimming penguin species
Rare,Kea Parrot,0.9–1.5 kg,New Zealand,Smart mountain parrot with green feathers,Extremely curious and playful
Rare,Pink Fairy Armadillo,100–120 g,Argentina,Tiny armadillo with pink shell,Smallest armadillo species
Rare,Secretary Bird,3–4.5 kg,Africa,Tall bird that hunts while walking,Kills prey using strong kicks
Rare,Golden Snub-nosed Monkey,15–30 kg,China,Monkey with blue face and golden fur,Lives in snowy mountains
Rare,Vicuna,35–65 kg,Andes Mountains,Slender camel relative with soft wool,Produces the finest wool
Rare,Glass Catfish,5–10 g,Southeast Asia,Transparent fish with visible spine,Body is almost invisible
Rare,Beluga Whale,1000–1500 kg,Arctic Ocean,White whale with flexible face,Can make many sounds
Epic,Giant Oarfish,200–300 kg,Deep Oceans,Long ribbon-like fish living deep underwater,Inspired sea serpent legends
Epic,Harpy Eagle,6–9 kg,Central & South America,Large eagle with feathery crown,One of the strongest eagles
Epic,Sunda Colugo,1–1.7 kg,Southeast Asia,Gliding mammal with wide skin flaps,Can glide long distances
Epic,Kea Elder,~1.5 kg,New Zealand,Ancient parrot with brighter feathers,Symbol of wisdom and curiosity
Epic,White Peacock,4–6 kg,India,Peacock with pure white feathers,Feathers shimmer in sunlight
Epic,Axolotl Elder,~500 g,Mexico,Large glowing axolotl with calm nature,Represents regeneration
Epic,Narwhal Elder,~1800 kg,Arctic Ocean,Ancient narwhal with longer tusk,Guardian of icy seas
Epic,Okapi Elder,~400 kg,Congo Rainforest,Majestic okapi with glowing patterns,Forest spirit protector
